0.05,425.597,426.591,
1,513.367,514.373,
1,541.455,542.491,
1,533.142,534.139,
0.05,417.277,418.214,
0.1,441.639,442.66,
1,514.736,515.732,
1,522.622,523.642,
1,511.951,512.943,
0.1,430.416,431.365,
0.15,422.858,423.823,
1,518.954,519.959,
1,496.203,497.166,
1,530.612,531.627,
0.15,420.313,421.273,
0.2,547.146,548.12,
1,498.957,499.956,
1,517.942,518.965,
1,531.933,532.931,
0.2,445.471,446.42,
0.25,494.231,495.237,
1,520.604,521.59,
1,534.774,535.793,
1,478.144,479.091,
0.25,455.11,456.085,
0.3,495.88,496.928,
1,507.142,508.136,
1,525.633,526.634,
1,525.676,526.685,
0.3,440.227,441.192,
0.35,503.49,504.564,
1,530.311,531.329,
1,513.334,514.358,
1,505.775,506.769,
0.35,441.423,442.377,
0.4,488.958,489.983,
1,523.071,524.096,
1,517.192,518.224,
1,526.39,527.387,
0.4,444.138,445.087,
0.45,495.103,496.125,
1,513.131,514.112,
1,533.738,534.739,
1,488.053,488.972,
0.45,510.289,511.287,
0.5,553.348,554.358,
1,512.168,513.185,
1,520.146,521.172,
1,541.116,542.184,
0.5,529.621,530.641,
0.55,517.695,518.726,
1,494.264,495.262,
1,509.776,510.76,
1,488.253,489.198,
0.55,517.864,518.913,
0.6,530.729,531.788,
1,517.474,518.473,
1,490.943,491.909,
1,456.248,457.205,
0.6,536.128,537.123,
0.65,514.586,515.621,
1,506.105,507.089,
1,525.624,526.646,
1,516.861,517.863,
0.65,509.262,510.305,
0.7,516.35,517.411,
1,492.092,493.073,
1,515.922,516.924,
1,525.217,526.225,
0.7,506.231,507.25,
0.75,485.912,486.944,
1,451.992,452.915,
1,520.453,521.465,
1,516.844,517.846,
0.75,496.202,497.24,
0.8,522.397,523.429,
1,509.694,510.657,
1,509.534,510.539,
1,505.582,506.584,
0.8,459.559,460.535,
0.85,565.983,567.031,
1,499.29,500.28,
1,495.602,496.605,
1,493.795,494.767,
0.85,524.661,525.679,
0.9,inf,inf,
1,530.379,531.4,
1,545.165,546.215,
1,474.392,475.384,
0.9,561.838,562.854,
0.95,530.223,531.246,
0.95,474.941,475.912,
1,536.117,537.142,
1,478.928,479.917,
1,531.992,532.977,
1,521.853,522.842,
1,508.932,509.93,
1,534.426,535.442,
1,522.459,523.436,
1,496.48,497.482,
